record_id,measure_id,title,entity_type,jurisdiction_level,jurisdiction_state,session,congress,chamber,scope,primary_category,sponsor,sponsor_party,sponsor_state,cosponsor_count,committees,introduced_date,last_action_date,lifecycle_status,status,public_law_number,enacted_date,effective_date,responsible_agencies,implementation_status,advance_tier,summary,committee_dynamics,advance_rationale,official_url,last_verified_date,verification_level
h-r-3919,H.R. 3919,Advanced AI Security Readiness Act,bill,federal,,,,House,Core,"Cyber, model & infrastructure security",Darin LaHood,R,IL,7,Intelligence (Permanent Select) Committee,2025-06-11,2025-06-11,referred,Introduced / referred,,,,,,Medium,"Directs NSA’s AI Security Center to develop an AI Security Playbook identifying vulnerabilities, critical components, security levels, and strategies to prevent theft of advanced AI systems and model assets.",The bipartisan intelligence-focused coalition and NSA nexus make the proposal well suited for an intelligence authorization or NDAA even without standalone markup.,National-security salience and an obvious IAA/NDAA landing zone improve prospects beyond the bill’s limited standalone movement.,https://www.congress.gov/bill/119th-congress/house-bill/3919,2026-09-24,Official API metadata synchronized; human review pending
h-r-4142,H.R. 4142,No Adversarial AI Act,bill,federal,,,,House,Adjacent,"Deterrence, export & foreign-adversary controls",John Moolenaar,R,MI,3,Oversight and Government Reform Committee,2025-06-25,2025-06-25,referred,Introduced / referred,,,,,,Medium,"Directs the Federal Acquisition Security Council to create a foreign-adversary AI list and triggers agency review, removal, and procurement restrictions.",The federal procurement mechanism places the bill in Oversight rather than Foreign Affairs or Science. A bicameral companion increases relevance.,"The companion bill and procurement-security rationale help, but no committee action was captured.",https://www.congress.gov/bill/119th-congress/house-bill/4142,2026-09-24,Official API metadata synchronized; human review pending
h-r-5288,H.R. 5288,AI Sovereignty Act,bill,federal,,,,House,Adjacent,"Deterrence, export & foreign-adversary controls",Eugene Vindman,D,VA,2,"Energy and Commerce Committee; Foreign Affairs Committee; Science, Space, and Technology Committee",2025-09-10,2025-09-10,referred,Introduced / triple referral,,,,,,Low,"Addresses strategic AI sovereignty, supply-chain resilience, and domestic capacity in competition with foreign adversaries.",The three-committee referral illustrates fragmented AI jurisdiction and raises coordination costs despite bipartisan sponsorship.,A broad strategic remit and triple referral make standalone movement difficult.,https://www.congress.gov/bill/119th-congress/house-bill/5288,2026-09-24,Official API metadata synchronized; human review pending
h-r-6304,H.R. 6304,AI for America Act,bill,federal,,,,House,Adjacent,"Monitoring, disclosure & reporting",Jennifer Kiggans,R,VA,2,"Energy and Commerce Committee; Science, Space, and Technology Committee",2025-11-25,2025-11-25,referred,Introduced / dual referral,,,,,,Low,"Requires a national AI strategy and a NIST report on internal review, third-party audits, and disclosure practices for detecting security risks and ideological bias.",The bill combines security review with politically contested bias concerns and carries a dual referral.,"No cosponsors or committee movement were captured, and the mixed policy objectives may complicate coalition-building.",https://www.congress.gov/bill/119th-congress/house-bill/6304,2026-09-24,Official API metadata synchronized; human review pending
h-r-6461,H.R. 6461,READ AI Models Act,bill,federal,,,,House,Core,"Monitoring, disclosure & reporting",Sarah McBride,D,DE,10,"Science, Space, and Technology Committee",2025-12-04,2026-06-25,committee_advanced,Committee consideration,,,,,,High,"Creates a NIST pilot for standardized model and data documentation templates, metrics, benchmarks, voluntary consensus standards, and public consultation.",A voluntary documentation design and double-digit cosponsor count fit the House Science Committee’s bipartisan technical-legislation strategy.,Substantial cosponsorship and an active committee pathway make the proposal comparatively easy to package or advance.,https://www.congress.gov/bill/119th-congress/house-bill/6461,2026-09-24,Official API metadata synchronized; human review pending
h-r-6875,H.R. 6875,AI OVERWATCH Act,bill,federal,,,,House,Adjacent,"Deterrence, export & foreign-adversary controls",Brian Mast,R,FL,43,Foreign Affairs Committee,2025-12-18,2026-01-21,committee_advanced,Introduced / referred,,,,,,Medium,"Conditions specified advanced-chip export licenses, requires congressional certification or notification, and provides a legislative disapproval mechanism.","The sponsor chairs Foreign Affairs and the bill has substantial cosponsorship, but export-license architecture can create executive-legislative friction.","Leadership sponsorship and 19 cosponsors provide leverage, even absent a captured markup.",https://www.congress.gov/bill/119th-congress/house-bill/6875,2026-09-24,Official API metadata synchronized; human review pending
h-r-7294,H.R. 7294,AI for Secure Networks Act,bill,federal,,,,House,Core,"Cyber, model & infrastructure security",Robert Menendez,D,NJ,5,Energy and Commerce Committee,2026-01-30,2026-09-16,committee_advanced,Introduced / referred,,,,,,Low,"Directs Commerce and NTIA to study the security benefits and risks of AI in telecommunications, including threat and malware detection, zero trust, resilience, and interoperability.",The measure is relevant to communications and critical-infrastructure security but competes with higher-priority Energy and Commerce AI bills.,"A study bill with limited visible movement is less likely to advance independently, although report language could absorb its objectives.",https://www.congress.gov/bill/119th-congress/house-bill/7294,2026-09-24,Official API metadata synchronized; human review pending
h-r-7696,H.R. 7696,AI Cyber Grid Protection Resilient Development Act of 2026,bill,federal,,,,House,Core,"Cyber, model & infrastructure security",Pablo Hernández,D,CA,2,Homeland Security Committee,2026-02-25,2026-02-26,referred,Introduced; referral needs refresh,,,,,,Low,Supports secure AI and cyber-physical testbeds capable of simulating grid-scale cyberattacks and resilience challenges.,"The policy fits critical-infrastructure and science jurisdictions, but the research snapshot did not capture a reliable committee referral.",No identified markup and incomplete referral metadata make it a lower-probability standalone measure.,https://www.congress.gov/bill/119th-congress/house-bill/7696,2026-09-24,Official API metadata synchronized; human review pending
h-r-8283,H.R. 8283,Deterring American AI Model Theft Act of 2026,bill,federal,,,,House,Adjacent,"Deterrence, export & foreign-adversary controls",Bill Huizenga,R,MI,21,Foreign Affairs Committee,2026-04-15,2026-04-22,committee_advanced,Ordered reported 43–0,,,,,,High,"Creates a process to identify foreign entities that illicitly obtain technical characteristics of closed-source U.S. models and supports Commerce information sharing, sanctions, and export-control responses.","Foreign Affairs demonstrated strong bipartisan agreement, and the China/model-theft framing aligns with committee priorities.","A unanimous 43–0 markup, 20 cosponsors, and a strong national-security frame give the bill unusually strong momentum.",https://www.congress.gov/bill/119th-congress/house-bill/8283,2026-09-24,Official API metadata synchronized; human review pending
h-r-8516,H.R. 8516,American Leadership in AI Act,bill,federal,,,,House,Adjacent,"Governance, preemption & regulatory architecture",Ted Lieu,D,CA,4,"Agriculture Committee; Education and Workforce Committee; Energy and Commerce Committee; Judiciary Committee; Oversight and Government Reform Committee; Science, Space, and Technology Committee; Ways and Means Committee",2026-04-27,2026-04-27,referred,Introduced / seven referrals,,,,,,Low,"Omnibus provisions include a NIST AI standards and security center, safety metrics and adversarial red teaming, federal chief AI officers, procurement safeguards, cyber training, whistleblower protections, and deepfake provisions.",The breadth creates severe jurisdictional complexity. Individual sections may migrate into narrower bipartisan bills even if the omnibus does not move intact.,"Standalone passage is unlikely, but the bill is a high-value source of amendment text.",https://www.congress.gov/bill/119th-congress/house-bill/8516,2026-09-24,Official API metadata synchronized; human review pending
h-r-8800,H.R. 8800,National Defense Authorization Act for Fiscal Year 2027,bill,federal,,,,House,Vehicle,"Defense, intelligence & procurement",Mike Rogers,R,AL,1,"Appropriations Committee; Armed Services Committee; Budget Committee; Education and Workforce Committee; Energy and Commerce Committee; Homeland Security Committee; Intelligence (Permanent Select) Committee; Judiciary Committee; Natural Resources Committee; Oversight and Government Reform Committee; Science, Space, and Technology Committee; Small Business Committee; Transportation and Infrastructure Committee; Veterans' Affairs Committee; Ways and Means Committee",2026-05-13,2026-09-14,committee_advanced,House floor processing,,,,,,High,"The principal House defense-authorization vehicle and a likely landing zone for military AI safeguards, procurement security, model-security reporting, and AI Security Center provisions.","Must-pass status gives the vehicle strong momentum, but individual AI provisions may be added, narrowed, traded, or removed during floor and conference negotiations.",Annual NDAA enactment pressure and active floor processing make material AI-security movement likely.,https://www.congress.gov/bill/119th-congress/house-bill/8800,2026-09-24,Official API metadata synchronized; human review pending
h-r-9333,H.R. 9333,AI Flaw Reporting and Security Enhancement Act,bill,federal,,,,House,Core,"Cyber, model & infrastructure security",Deborah Ross,D,NC,2,"Science, Space, and Technology Committee",2026-06-18,2026-06-25,committee_advanced,Favorably reported 29–0,,,,,,High,"Directs NIST and CISA to create voluntary mechanisms and technical frameworks for reporting and tracking AI vulnerabilities, failures, and flaws, including common definitions and a national database.","The unanimous bipartisan Science Committee vote, voluntary design, and narrow technical remit reduce ideological friction. Implementation still requires coordination between NIST and CISA and eventual funding.","A 29–0 committee vote, bipartisan sponsorship, and a narrow technical design make this one of the strongest standalone candidates.",https://www.congress.gov/bill/119th-congress/house-bill/9333,2026-09-24,Official API metadata synchronized; human review pending
h-r-9363,H.R. 9363,AI Security and Innovation Act,bill,federal,,,,House,Core,"Evaluation, testing & standards",Jay Obernolte,R,CA,7,"Science, Space, and Technology Committee",2026-06-18,2026-06-25,committee_advanced,Favorably reported 29–0,,,,,,High,"Establishes a NIST AI security and innovation center to measure national- and economic-security risks, conduct or facilitate evaluations, support R&D and standards, and collaborate voluntarily with industry.","The sponsor chairs the House Science AI-focused subcommittee, and the bill received unanimous committee support. Its principal vulnerability is implementation funding rather than committee opposition.","Unanimous committee action, bipartisan amendments, leadership sponsorship, and a completed CBO estimate signal unusually mature floor preparation.",https://www.congress.gov/bill/119th-congress/house-bill/9363,2026-09-24,Official API metadata synchronized; human review pending
h-r-9477,H.R. 9477,AI Incident Reporting Act,bill,federal,,,,House,Core,"Monitoring, disclosure & reporting",Nathaniel Moran,R,TX,3,Energy and Commerce Committee,2026-06-25,2026-06-25,referred,Introduced / referred,,,,,,Low,"Requires covered high-risk model developers to report specified autonomy, cybersecurity, and model-weight-theft incidents within seven days. Commerce would receive investigative authority and civil-penalty authority reaching $2 million per violation.","The mandatory reporting and penalty structure gives Energy and Commerce a central role. Its definitions and seven-day clock overlap with, but differ from, FRONTIER and other vulnerability-reporting proposals.","Limited coalition and no committee action make standalone passage difficult, although the reporting concepts are plausible amendment material.",https://www.congress.gov/bill/119th-congress/house-bill/9477,2026-09-24,Official API metadata synchronized; human review pending
h-r-9914,H.R. 9914,Collaboration on Adversarial Threats and Security Risks Act,bill,federal,,,,House,Core,"Governance, preemption & regulatory architecture",Robert Latta,R,OH,22,Judiciary Committee,2026-07-23,2026-07-23,referred,Introduced / referred,,,,,,Medium,Clarifies antitrust treatment of collaboration intended to share information about adversarial threats and security risks involving frontier AI.,"The bill addresses a security-coordination problem through antitrust law, placing it in Judiciary rather than the committees handling most AI standards legislation. Its broad bipartisan original coalition is a meaningful asset.","Eight original cosponsors and cross-party support strengthen prospects, but the bill still needs a Judiciary pathway or attachment to a wider package.",https://www.congress.gov/bill/119th-congress/house-bill/9914,2026-09-24,Official API metadata synchronized; human review pending
h-r-9917,H.R. 9917,AI Kill Switch Act,bill,federal,,,,House,Core,"Cyber, model & infrastructure security",Ted Lieu,D,CA,3,Homeland Security Committee,2026-07-23,2026-07-24,referred,Introduced / referred,,,,,,Medium,Directs development of a shutdown-capability standard and graduated deployment safeguards for covered AI systems.,"The bipartisan sponsor pair helps, but Homeland Security must translate a cross-cutting AI control concept into its jurisdiction and reconcile it with sectoral and developer-focused frameworks.","Bipartisan support and a concrete safeguard create an amendment pathway, though the standalone bill had not received committee action.",https://www.congress.gov/bill/119th-congress/house-bill/9917,2026-09-24,Official API metadata synchronized; human review pending
h-r-9925,H.R. 9925,FRONTIER Act,bill,federal,,,,House,Core,"Monitoring, disclosure & reporting",Jay Obernolte,R,CA,9,"Energy and Commerce Committee; Science, Space, and Technology Committee",2026-07-23,2026-07-23,referred,Introduced / referred,,,,,,Medium,"Creates a federal framework for covered frontier-model developers using compute and developer-size thresholds. It combines risk-management duties, third-party audits, mandatory incident reporting, emergency authority, and targeted state-law preemption with savings clauses.","The dual referral is a major jurisdictional constraint. House Science has moved narrower bipartisan AI-security bills, while Energy and Commerce controls important commercial and enforcement questions. Preemption is likely to be the hardest bargaining issue.","Bipartisan architecture and committee-chair sponsorship make the bill consequential, but its late introduction, dual referral, enforcement design, and preemption language raise substantial transaction costs.",https://www.congress.gov/bill/119th-congress/house-bill/9925,2026-09-24,Official API metadata synchronized; human review pending
ny-s-6953b-2025,NY S6953B,Responsible AI Safety and Education Act,law,state,NY,2025-2026,,State legislature,Core,Frontier-model & national security,Andrew Gounardes,D,NY,,Senate Internet and Technology,2025-03-27,2025-12-19,enacted,Enacted — Chapter 699 of 2025,,2025-12-19,,New York Department of Financial Services; New York Attorney General,planning,N/A,Requires covered frontier-model developers to publish information about safety protocols and report specified critical-harm incidents to New York within 72 hours; it also creates a frontier-model oversight office within the Department of Financial Services.,The final enacted framework was negotiated to emphasize transparency and incident reporting for the largest frontier developers.,Enacted state law.,https://www.nysenate.gov/legislation/bills/2025/S6953/amendment/B,2026-09-20,Official legislature and governor sources verified.
pl-118-159-sec-225,P.L. 118-159 § 225,Defense governing-council duties for advanced AI security,provision,federal,,118th Congress,118,Bicameral,Core,Frontier-model & national security,,,,,House Armed Services; Senate Armed Services,2024-04-18,2024-12-23,enacted,Enacted — Public Law 118-159,118-159,2024-12-23,,Department of Defense; Chief Digital and Artificial Intelligence Officer Governing Council,ongoing,N/A,"Directs the Chief Digital and Artificial Intelligence Officer Governing Council to identify and assess AI models that could pose national-security risk if accessed by an adversary, develop strategies against unauthorized adversary access and use, and recommend legislative or administrative action.",The provision was enacted through the annual defense authorization process.,Enacted law; implementation replaces advancement forecasting.,https://www.govinfo.gov/app/details/PLAW-118publ159,2026-09-20,Official public-law text verified.
pl-118-31-ai-safety,P.L. 118-31 §§ 220-225,FY2024 NDAA artificial-intelligence assurance and security provisions,provision,federal,,118th Congress,118,Bicameral,Vehicle,"Testing, evaluation & assurance",,,,,House Armed Services; Senate Armed Services,2023-04-18,2023-12-22,enacted,Enacted — Public Law 118-31,118-31,2023-12-22,,Department of Defense,unknown,N/A,"A curated group of FY2024 NDAA provisions addressing generative-AI detection and watermarking, responsible-AI processes, explainable military AI, and assessment of model and advanced-AI technologies that could pose national-security risks.",The provisions moved through the annual defense-authorization vehicle rather than as a standalone AI statute.,Enacted law; implementation replaces advancement forecasting.,https://www.govinfo.gov/app/details/PLAW-118publ31,2026-09-20,Official public-law text verified; implementation status requires a dedicated agency review.
pl-119-12-take-it-down,P.L. 119-12,TAKE IT DOWN Act,law,federal,,119th Congress,119,Bicameral,Adjacent,Synthetic-media safety,Ted Cruz,R,TX,,"Senate Commerce, Science, and Transportation; House Energy and Commerce",2025-01-16,2025-05-19,enacted,Enacted — Public Law 119-12; FTC enforcement active,119-12,2025-05-19,,Federal Trade Commission; Department of Justice,enforcing,N/A,"Criminalizes specified nonconsensual publication of intimate visual depictions, including AI-created digital forgeries, and requires covered platforms to operate a notice-and-removal process and remove validly reported content and known identical copies within 48 hours.",The bill passed both chambers and became the first standalone federal law in this starter set with an express operational duty covering AI-generated intimate imagery.,Enacted law; implementation replaces advancement forecasting.,https://www.govinfo.gov/app/details/PLAW-119publ12,2026-09-20,Official law and FTC implementation materials verified.
pl-119-21-sec-50404,P.L. 119-21 § 50404,Transformational artificial-intelligence models for science and engineering,provision,federal,,119th Congress,119,Bicameral,Adjacent,Federal AI capacity,,,,,,2025-05-20,2025-07-04,enacted,Enacted — Public Law 119-21,119-21,2025-07-04,,Department of Energy; National Laboratories,in_progress,N/A,"Directs the Department of Energy to mobilize national laboratories and industry partners to curate scientific data and support transformational AI models, with security and privacy requirements for shared research infrastructure.",The provision moved in a large reconciliation law and is included as adjacent federal capacity with security-relevant data controls.,Enacted law; implementation replaces advancement forecasting.,https://www.govinfo.gov/app/details/PLAW-119publ21,2026-09-20,Official law and DOE implementation material verified.
pl-119-60-ai-institutes,P.L. 119-60 — AI Institutes,National-security artificial-intelligence research institutes,provision,federal,,119th Congress,119,Bicameral,Core,"Testing, evaluation & assurance",,,,,House Armed Services; Senate Armed Services,2025-03-14,2025-12-18,enacted,Enacted — Public Law 119-60,119-60,2025-12-18,,Department of Defense,unknown,N/A,"Authorizes Defense Department AI research institutes that may maintain secure and privacy-protected datasets, develop predeployment testbeds, conduct national-security AI research, and provide compute and technical support.",The authority was enacted through the FY2026 defense authorization vehicle.,Enacted law; implementation replaces advancement forecasting.,https://www.govinfo.gov/app/details/PLAW-119publ60,2026-09-20,Official public-law text verified; implementation status requires follow-up.
s-1633,S. 1633,TEST AI Act of 2025,bill,federal,,,,Senate,Core,"Evaluation, testing & standards",Ben Luján,D,NM,4,"Commerce, Science, and Transportation Committee",2025-05-07,2025-05-07,referred,Introduced / referred,,,,,,Medium,"Requires NIST testbed pilots to assess the feasibility of measurement standards for evaluating AI systems used by federal agencies, coordinated with the Department of Energy through a memorandum of understanding.","The technical, federal-use focus is less contentious than general private-sector regulation and could complement House NIST legislation.","Bipartisan or multi-member support and a narrow standards mission create packaging opportunities, though no committee action was located.",https://www.congress.gov/bill/119th-congress/senate-bill/1633,2026-09-24,Official API metadata synchronized; human review pending
s-1638,S. 1638,Protection Against Foreign Adversarial Artificial Intelligence Act of 2025,bill,federal,,,,Senate,Adjacent,"Deterrence, export & foreign-adversary controls",Bill Cassidy,R,LA,3,"Commerce, Science, and Transportation Committee",2025-05-07,2025-05-07,referred,Introduced / referred,,,,,,Low,"Bars specified DeepSeek or High-Flyer use in federal contracting and directs Commerce analysis of censorship, propaganda, and security threats.",The vendor-specific approach is narrower than a general foreign-adversary list but may become stale as firms or model families change.,Limited movement and a vendor-specific design reduce standalone prospects relative to broader procurement proposals.,https://www.congress.gov/bill/119th-congress/senate-bill/1638,2026-09-24,Official API metadata synchronized; human review pending
s-1754,S. 1754,Preventing PLA Acquisition of United States Technology Act of 2025,bill,federal,,,,Senate,Adjacent,"Deterrence, export & foreign-adversary controls",Jim Banks,R,IN,1,Foreign Relations Committee,2025-05-14,2025-05-14,referred,Introduced / referred,,,,,,Low,"Restricts covered technical and research relationships with Chinese entities of concern in military-civil-fusion priority fields, expressly including AI, and requires disclosure.",The bill is security-adjacent rather than a frontier-model safety framework and must compete with broader China technology packages.,No cosponsors or committee movement were captured in the research snapshot.,https://www.congress.gov/bill/119th-congress/senate-bill/1754,2026-09-24,Official API metadata synchronized; human review pending
s-1775,S. 1775,Protecting AI and Cloud Competition in Defense Act of 2025,bill,federal,,,,Senate,Adjacent,"Defense, intelligence & procurement",Elizabeth Warren,D,MA,1,Armed Services Committee,2025-05-15,2025-05-15,referred,Introduced / referred,,,,,,Medium,"Addresses competitive awards for Defense cloud, data, and foundation-model systems and protects government data rights.",The Senate Armed Services referral creates a direct amendment route into NDAA and a basis for bicameral negotiation with H.R. 3434.,A natural NDAA pathway makes the substance more viable than the standalone status indicates.,https://www.congress.gov/bill/119th-congress/senate-bill/1775,2026-09-24,Official API metadata synchronized; human review pending
s-2177,S. 2177,No Adversarial AI Act,bill,federal,,,,Senate,Adjacent,"Deterrence, export & foreign-adversary controls",Rick Scott,R,FL,1,Homeland Security and Governmental Affairs Committee,2025-06-25,2025-06-25,referred,Introduced / referred,,,,,,Medium,Creates a Senate companion framework for a foreign-adversary AI procurement list and related federal acquisition restrictions.,The Republican sponsor and Democratic ranking member Gary Peters form a strategically important bipartisan pairing within HSGAC.,The committee leadership configuration makes the bill more viable than its raw cosponsor count suggests.,https://www.congress.gov/bill/119th-congress/senate-bill/2177,2026-09-24,Official API metadata synchronized; human review pending
s-2750,S. 2750,SANDBOX Act,bill,federal,,,,Senate,Adjacent,"Governance, preemption & regulatory architecture",Ted Cruz,R,TX,0,"Commerce, Science, and Transportation Committee",2025-09-10,2025-09-10,referred,Introduced / referred,,,,,,Medium,"Creates an OSTP-run AI regulatory sandbox allowing temporary waiver or modification of covered federal rules so AI products or development methods can be tested, while applications address health, safety, and economic risks.","The sponsor chairs Senate Commerce, but waiver authority and the relationship to existing safety rules are politically divisive.","Committee-chair sponsorship creates a real pathway, balanced by controversy over deregulatory waivers.",https://www.congress.gov/bill/119th-congress/senate-bill/2750,2026-09-24,Official API metadata synchronized; human review pending
s-3557,S. 3557,States' Right to Regulate AI Act,bill,federal,,,,Senate,Adjacent,"Governance, preemption & regulatory architecture",Edward Markey,,,10,"Commerce, Science, and Transportation Committee",2025-12-17,2025-12-17,unknown,Metadata refresh required,,,,,,Low,"Would prohibit federal funds from being used to implement the executive order titled “Ensuring a National Policy Framework for Artificial Intelligence,” making it relevant to the federal-state authority and preemption debate.","Its standalone prospects are limited, but the language could become significant if offered as an appropriations rider.",Incomplete metadata and no captured movement lower standalone prospects; rider pathways remain the principal risk.,https://www.congress.gov/bill/119th-congress/senate-bill/3557,2026-09-24,Official API metadata synchronized; human review pending
